Original label: climbing_hold, Prediction: clip, Confidence: 0.959
Original label: glue, Prediction: clip, Confidence: 0.985
Original label: glue, Prediction: clip, Confidence: 0.976
Original label: glue, Prediction: clip, Confidence: 0.990
Original label: glue, Prediction: clip, Confidence: 0.989
Original label: glue, Prediction: clip, Confidence: 0.985
Original label: glue, Prediction: clip, Confidence: 0.988
Original label: glue, Prediction: clip, Confidence: 0.981
Original label: glue, Prediction: clip, Confidence: 0.993
Original label: spray_bottle, Prediction: clip, Confidence: 0.966
Original label: spray_bottle, Prediction: clip, Confidence: 0.965
Original label: spray_bottle, Prediction: clip, Confidence: 0.965
Original label: spray_bottle, Prediction: clip, Confidence: 0.960
Original label: spray_bottle, Prediction: clip, Confidence: 0.968
Original label: spray_bottle, Prediction: clip, Confidence: 0.963
Original label: spray_bottle, Prediction: clip, Confidence: 0.968
Original label: spray_bottle, Prediction: clip, Confidence: 0.965
Original label: spray_bottle, Prediction: clip, Confidence: 0.965
Original label: spray_bottle, Prediction: clip, Confidence: 0.962
Original label: spray_bottle, Prediction: clip, Confidence: 0.960
Original label: spray_bottle, Prediction: clip, Confidence: 0.966
Original label: spray_bottle, Prediction: clip, Confidence: 0.968
Original label: spray_bottle, Prediction: clip, Confidence: 0.962
Original label: spray_bottle, Prediction: clip, Confidence: 0.966
Original label: spray_bottle, Prediction: clip, Confidence: 0.967
Original label: spray_bottle, Prediction: clip, Confidence: 0.965
Original label: spray_bottle, Prediction: clip, Confidence: 0.961
Original label: spray_bottle, Prediction: clip, Confidence: 0.963
Original label: spray_bottle, Prediction: clip, Confidence: 0.962
Original label: toothbrushes, Prediction: clip, Confidence: 0.991
Original label: toothbrushes, Prediction: clip, Confidence: 0.990
Original label: toothbrushes, Prediction: clip, Confidence: 0.989
Original label: toothbrushes, Prediction: clip, Confidence: 0.966
Original label: toothbrushes, Prediction: clip, Confidence: 0.963
Original label: toothbrushes, Prediction: clip, Confidence: 0.964
Original label: toothbrushes, Prediction: clip, Confidence: 0.977
Original label: toothbrushes, Prediction: clip, Confidence: 0.969
Original label: toothbrushes, Prediction: clip, Confidence: 0.982
Original label: toothbrushes, Prediction: clip, Confidence: 0.992
Original label: toothbrushes, Prediction: clip, Confidence: 0.963
Original label: toothbrushes, Prediction: clip, Confidence: 0.963
Original label: toothbrushes, Prediction: clip, Confidence: 0.963
Original label: toothbrushes, Prediction: clip, Confidence: 0.982
Original label: toothbrushes, Prediction: clip, Confidence: 0.967
Original label: toothbrushes, Prediction: clip, Confidence: 0.980
Original label: toothbrushes, Prediction: clip, Confidence: 0.988
Original label: toothbrushes, Prediction: clip, Confidence: 0.984
Original label: toothbrushes, Prediction: clip, Confidence: 0.982
Original label: toothbrushes, Prediction: clip, Confidence: 0.981
Original label: toothpaste, Prediction: clip, Confidence: 0.964
Original label: toothpaste, Prediction: clip, Confidence: 0.963
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.976
Original label: toothpaste, Prediction: clip, Confidence: 0.970
Original label: toothpaste, Prediction: clip, Confidence: 0.968
Original label: toothpaste, Prediction: clip, Confidence: 0.973
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.974
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.970
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.972
Original label: toothpaste, Prediction: clip, Confidence: 0.962
Original label: toothpaste, Prediction: clip, Confidence: 0.959
Original label: toothpaste, Prediction: clip, Confidence: 0.962
Original label: toothpaste, Prediction: clip, Confidence: 0.959
Original label: toothpaste, Prediction: clip, Confidence: 0.965
Original label: toothpaste, Prediction: clip, Confidence: 0.964
Original label: watermelon, Prediction: clip, Confidence: 0.954
Original label: watermelon, Prediction: clip, Confidence: 0.956
Original label: watermelon, Prediction: clip, Confidence: 0.955
Original label: watermelon, Prediction: clip, Confidence: 0.958
Original label: watermelon, Prediction: clip, Confidence: 0.954
Original label: watermelon, Prediction: clip, Confidence: 0.954
Original label: watermelon, Prediction: clip, Confidence: 0.955
Original label: watermelon, Prediction: clip, Confidence: 0.957
Original label: watermelon, Prediction: clip, Confidence: 0.954
Original label: watermelon, Prediction: clip, Confidence: 0.959
Original label: watermelon, Prediction: clip, Confidence: 0.954
Original label: watermelon, Prediction: clip, Confidence: 0.957
Original label: watermelon, Prediction: clip, Confidence: 0.956
Original label: watermelon, Prediction: clip, Confidence: 0.959
Original label: watermelon, Prediction: clip, Confidence: 0.953
Original label: watermelon, Prediction: clip, Confidence: 0.956
Original label: watermelon, Prediction: clip, Confidence: 0.955
Original label: watermelon, Prediction: clip, Confidence: 0.957
Original label: watermelon, Prediction: clip, Confidence: 0.955
Original label: watermelon, Prediction: clip, Confidence: 0.957
Original label: wipes, Prediction: clip, Confidence: 0.982
Original label: wipes, Prediction: clip, Confidence: 0.966
Original label: wipes, Prediction: clip, Confidence: 0.979
Original label: wipes, Prediction: clip, Confidence: 0.985
Original label: wipes, Prediction: clip, Confidence: 0.967
Original label: wipes, Prediction: clip, Confidence: 0.970
Original label: wipes, Prediction: clip, Confidence: 0.974
Original label: wipes, Prediction: clip, Confidence: 0.979
Original label: wipes, Prediction: clip, Confidence: 0.988
Original label: wipes, Prediction: clip, Confidence: 0.987
Original label: wipes, Prediction: clip, Confidence: 0.971
Original label: wipes, Prediction: clip, Confidence: 0.974
Original label: wipes, Prediction: clip, Confidence: 0.985
Original label: wipes, Prediction: clip, Confidence: 0.989
Original label: wipes, Prediction: clip, Confidence: 0.975
Original label: wipes, Prediction: clip, Confidence: 0.979
Original label: wipes, Prediction: clip, Confidence: 0.986
Original label: wipes, Prediction: clip, Confidence: 0.984
Original label: wipes, Prediction: clip, Confidence: 0.981
Original label: wipes, Prediction: clip, Confidence: 0.979
Original label: zoink, Prediction: clip, Confidence: 0.979
Original label: zoink, Prediction: clip, Confidence: 0.985
Original label: zoink, Prediction: clip, Confidence: 0.975
Original label: zoink, Prediction: clip, Confidence: 0.981
Original label: zoink, Prediction: clip, Confidence: 0.963
Original label: zoink, Prediction: clip, Confidence: 0.979
Original label: zoink, Prediction: clip, Confidence: 0.964
Original label: zoink, Prediction: clip, Confidence: 0.975
Original label: zoink, Prediction: clip, Confidence: 0.986
Original label: zoink, Prediction: clip, Confidence: 0.985
Original label: zoink, Prediction: clip, Confidence: 0.986
Original label: zoink, Prediction: clip, Confidence: 0.978
Original label: zoink, Prediction: clip, Confidence: 0.979
Original label: zoink, Prediction: clip, Confidence: 0.979
Original label: zoink, Prediction: clip, Confidence: 0.975
Original label: zoink, Prediction: clip, Confidence: 0.964
Original label: zoink, Prediction: clip, Confidence: 0.980
Original label: zoink, Prediction: clip, Confidence: 0.984
Original label: zoink, Prediction: clip, Confidence: 0.976
Original label: zoink, Prediction: clip, Confidence: 0.984
