Original label: antacid_tablets, Prediction: mayonnaise, Confidence: 0.064
Original label: italian_seasoning, Prediction: sunscreen, Confidence: 0.028
Original label: italian_seasoning, Prediction: fan_extruder, Confidence: 0.029
Original label: janek, Prediction: idler_bearing, Confidence: 0.060
Original label: jergens_ultra, Prediction: neutrogena, Confidence: 0.035
Original label: ketchup_bottle, Prediction: utility_knife, Confidence: 0.078
Original label: ketchup_bottle, Prediction: crayons, Confidence: 0.041
Original label: kind_bar, Prediction: shark, Confidence: 0.042
Original label: kool_aid_liquid, Prediction: antacid_tablets, Confidence: 0.029
Original label: kool_aid_liquid, Prediction: fan_extruder, Confidence: 0.042
Original label: lemon, Prediction: starfruit, Confidence: 0.107
Original label: lemon, Prediction: orange, Confidence: 0.166
Original label: lighters, Prediction: mouse_traps, Confidence: 0.274
Original label: lighters, Prediction: command_hook, Confidence: 0.194
Original label: mango, Prediction: starfruit, Confidence: 0.165
Original label: mango, Prediction: red_climbing_hold, Confidence: 0.115
Original label: mayonnaise, Prediction: crayons, Confidence: 0.212
Original label: mayonnaise, Prediction: starfruit, Confidence: 0.089
Original label: mouse_traps, Prediction: fan_extruder, Confidence: 0.043
Original label: mushroom, Prediction: fan_extruder, Confidence: 0.036
Original label: mushroom, Prediction: egg, Confidence: 0.032
Original label: neutrogena, Prediction: fan_extruder, Confidence: 0.033
Original label: neutrogena, Prediction: elmers_glue, Confidence: 0.089
Original label: orange, Prediction: mango, Confidence: 0.165
Original label: orange, Prediction: pear, Confidence: 0.116
Original label: orange_juice, Prediction: orange, Confidence: 0.041
Original label: orange_juice, Prediction: crayons, Confidence: 0.046
Original label: palm_brush, Prediction: elmers_glue, Confidence: 0.053
Original label: palm_brush, Prediction: fan_extruder, Confidence: 0.048
Original label: pancake, Prediction: starfruit, Confidence: 0.062
Original label: pawn, Prediction: candle_lighter, Confidence: 0.256
Original label: pawn, Prediction: candle_lighter, Confidence: 0.154
Original label: peach, Prediction: orange, Confidence: 0.049
Original label: pear, Prediction: bananas, Confidence: 0.118
Original label: pear, Prediction: starfruit, Confidence: 0.076
Original label: pencils, Prediction: take_and_toss, Confidence: 0.188
Original label: pencils, Prediction: take_and_toss, Confidence: 0.110
Original label: pepper, Prediction: mayonnaise, Confidence: 0.032
Original label: pepper, Prediction: ketchup_bottle, Confidence: 0.037
Original label: pipe_connector, Prediction: castle_rexor, Confidence: 0.098
Original label: pipe_connector, Prediction: yoda, Confidence: 0.764
Original label: playing_cards, Prediction: crayons, Confidence: 0.038
Original label: playing_cards, Prediction: sharpie_pens, Confidence: 0.130
Original label: pomegranate, Prediction: orange, Confidence: 0.201
Original label: pomegranate, Prediction: orange, Confidence: 0.151
Original label: sardines_can, Prediction: egg, Confidence: 0.034
Original label: sardines_can, Prediction: egg, Confidence: 0.033
Original label: scissors, Prediction: command_hook, Confidence: 0.282
Original label: scotch_tape, Prediction: sunscreen, Confidence: 0.063
Original label: scotch_tape, Prediction: kind_bar, Confidence: 0.046
Original label: shark, Prediction: kind_bar, Confidence: 0.065
Original label: shark, Prediction: worcestershire_sauce, Confidence: 0.046
Original label: simple_wipes, Prediction: carmex_balm, Confidence: 0.139
Original label: sippy_cups, Prediction: mushroom, Confidence: 0.039
Original label: sippy_cups, Prediction: take_and_toss, Confidence: 0.210
Original label: small_watermelon, Prediction: fan_extruder, Confidence: 0.042
Original label: small_watermelon, Prediction: fan_extruder, Confidence: 0.035
Original label: spray_bottle, Prediction: kind_bar, Confidence: 0.031
Original label: stamp, Prediction: fim_soup, Confidence: 0.032
Original label: stamp, Prediction: small_watermelon, Confidence: 0.032
Original label: strawberry, Prediction: pancake, Confidence: 0.036
Original label: strawberry, Prediction: pomegranate, Confidence: 0.035
Original label: sulfur_neutron, Prediction: fan_extruder, Confidence: 0.055
Original label: sulfur_neutron, Prediction: fan_extruder, Confidence: 0.062
Original label: sunscreen, Prediction: white_board_cleaner, Confidence: 0.038
Original label: take_and_toss, Prediction: mushroom, Confidence: 0.035
Original label: toothpaste, Prediction: zoink, Confidence: 0.229
Original label: toothpaste, Prediction: zoink, Confidence: 0.281
Original label: uncracked_egg, Prediction: pancake, Confidence: 0.042
Original label: uncracked_egg, Prediction: castle_rexor, Confidence: 0.030
Original label: utility_knife, Prediction: red_climbing_hold, Confidence: 0.123
Original label: vaseline, Prediction: dr_one, Confidence: 0.034
Original label: vaseline, Prediction: dice, Confidence: 0.058
Original label: watermelon, Prediction: utility_knife, Confidence: 0.060
Original label: white_board_cleaner, Prediction: fan_extruder, Confidence: 0.057
Original label: white_board_cleaner, Prediction: antacid_tablets, Confidence: 0.072
Original label: worcestershire_sauce, Prediction: kind_bar, Confidence: 0.052
Original label: worcestershire_sauce, Prediction: kind_bar, Confidence: 0.062
Original label: yoda, Prediction: castle_rexor, Confidence: 0.130
Original label: yoda, Prediction: pawn, Confidence: 0.282
Original label: zoink, Prediction: sippy_cups, Confidence: 0.556
