Original label: climbing_hold, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: spray_bottle, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothbrushes, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: toothpaste, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: watermelon, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
Original label: zoink, Prediction: wipes, Confidence: 0.100
