Original label: climbing_hold, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: spray_bottle, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothbrushes, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: toothpaste, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: watermelon, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: wipes, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
Original label: zoink, Prediction: glue, Confidence: 1.000
