Original label: antacid_tablets, Prediction: pear, Confidence: 1.000
Original label: elmers_glue, Prediction: pear, Confidence: 1.000
Original label: elmers_glue, Prediction: pear, Confidence: 1.000
Original label: engine_part, Prediction: pear, Confidence: 1.000
Original label: engine_part, Prediction: pear, Confidence: 1.000
Original label: fan_extruder, Prediction: pear, Confidence: 1.000
Original label: fan_extruder, Prediction: pear, Confidence: 1.000
Original label: fim_soup, Prediction: pear, Confidence: 1.000
Original label: fim_soup, Prediction: pear, Confidence: 1.000
Original label: frenchs_mustard, Prediction: pear, Confidence: 1.000
Original label: frenchs_mustard, Prediction: pear, Confidence: 1.000
Original label: glue_sticks, Prediction: pear, Confidence: 1.000
Original label: glue_sticks, Prediction: pear, Confidence: 1.000
Original label: gorilla_glue, Prediction: pear, Confidence: 1.000
Original label: gorilla_glue, Prediction: pear, Confidence: 1.000
Original label: green_scotch_roll, Prediction: pear, Confidence: 1.000
Original label: green_scotch_roll, Prediction: pear, Confidence: 1.000
Original label: hammer, Prediction: pear, Confidence: 1.000
Original label: hammer, Prediction: pear, Confidence: 1.000
Original label: idler_bearing, Prediction: pear, Confidence: 1.000
Original label: idler_bearing, Prediction: pear, Confidence: 1.000
Original label: italian_seasoning, Prediction: pear, Confidence: 1.000
Original label: italian_seasoning, Prediction: pear, Confidence: 1.000
Original label: janek, Prediction: pear, Confidence: 1.000
Original label: janek, Prediction: pear, Confidence: 1.000
Original label: jergens_ultra, Prediction: pear, Confidence: 1.000
Original label: jergens_ultra, Prediction: pear, Confidence: 1.000
Original label: ketchup_bottle, Prediction: pear, Confidence: 1.000
Original label: ketchup_bottle, Prediction: pear, Confidence: 1.000
Original label: kind_bar, Prediction: pear, Confidence: 1.000
Original label: kind_bar, Prediction: pear, Confidence: 1.000
Original label: kool_aid_liquid, Prediction: pear, Confidence: 1.000
Original label: kool_aid_liquid, Prediction: pear, Confidence: 1.000
Original label: lemon, Prediction: pear, Confidence: 1.000
Original label: lemon, Prediction: pear, Confidence: 1.000
Original label: lighters, Prediction: pear, Confidence: 1.000
Original label: lighters, Prediction: pear, Confidence: 1.000
Original label: mango, Prediction: pear, Confidence: 1.000
Original label: mango, Prediction: pear, Confidence: 1.000
Original label: mayonnaise, Prediction: pear, Confidence: 1.000
Original label: mayonnaise, Prediction: pear, Confidence: 1.000
Original label: mouse_traps, Prediction: pear, Confidence: 1.000
Original label: mouse_traps, Prediction: pear, Confidence: 1.000
Original label: mushroom, Prediction: pear, Confidence: 1.000
Original label: mushroom, Prediction: pear, Confidence: 1.000
Original label: neutrogena, Prediction: pear, Confidence: 1.000
Original label: neutrogena, Prediction: pear, Confidence: 1.000
Original label: orange, Prediction: pear, Confidence: 1.000
Original label: orange, Prediction: pear, Confidence: 1.000
Original label: orange_juice, Prediction: pear, Confidence: 1.000
Original label: orange_juice, Prediction: pear, Confidence: 1.000
Original label: palm_brush, Prediction: pear, Confidence: 1.000
Original label: palm_brush, Prediction: pear, Confidence: 1.000
Original label: pancake, Prediction: pear, Confidence: 1.000
Original label: pancake, Prediction: pear, Confidence: 1.000
Original label: pawn, Prediction: pear, Confidence: 1.000
Original label: pawn, Prediction: pear, Confidence: 1.000
Original label: peach, Prediction: pear, Confidence: 1.000
Original label: peach, Prediction: pear, Confidence: 1.000
Original label: pencils, Prediction: pear, Confidence: 1.000
Original label: pencils, Prediction: pear, Confidence: 1.000
Original label: pepper, Prediction: pear, Confidence: 1.000
Original label: pepper, Prediction: pear, Confidence: 1.000
Original label: pipe_connector, Prediction: pear, Confidence: 1.000
Original label: pipe_connector, Prediction: pear, Confidence: 1.000
Original label: playing_cards, Prediction: pear, Confidence: 1.000
Original label: playing_cards, Prediction: pear, Confidence: 1.000
Original label: pomegranate, Prediction: pear, Confidence: 1.000
Original label: pomegranate, Prediction: pear, Confidence: 1.000
Original label: red_climbing_hold, Prediction: pear, Confidence: 1.000
Original label: red_climbing_hold, Prediction: pear, Confidence: 1.000
Original label: saline_wipes, Prediction: pear, Confidence: 1.000
Original label: saline_wipes, Prediction: pear, Confidence: 1.000
Original label: sardines_can, Prediction: pear, Confidence: 1.000
Original label: sardines_can, Prediction: pear, Confidence: 1.000
Original label: scissors, Prediction: pear, Confidence: 1.000
Original label: scissors, Prediction: pear, Confidence: 1.000
Original label: scotch_tape, Prediction: pear, Confidence: 1.000
Original label: scotch_tape, Prediction: pear, Confidence: 1.000
Original label: shark, Prediction: pear, Confidence: 1.000
Original label: shark, Prediction: pear, Confidence: 1.000
Original label: sharpie_pens, Prediction: pear, Confidence: 1.000
Original label: sharpie_pens, Prediction: pear, Confidence: 1.000
Original label: simple_wipes, Prediction: pear, Confidence: 1.000
Original label: simple_wipes, Prediction: pear, Confidence: 1.000
Original label: sippy_cups, Prediction: pear, Confidence: 1.000
Original label: sippy_cups, Prediction: pear, Confidence: 1.000
Original label: small_watermelon, Prediction: pear, Confidence: 1.000
Original label: small_watermelon, Prediction: pear, Confidence: 1.000
Original label: spray_bottle, Prediction: pear, Confidence: 1.000
Original label: spray_bottle, Prediction: pear, Confidence: 1.000
Original label: stamp, Prediction: pear, Confidence: 1.000
Original label: stamp, Prediction: pear, Confidence: 1.000
Original label: starfruit, Prediction: pear, Confidence: 1.000
Original label: starfruit, Prediction: pear, Confidence: 1.000
Original label: strawberry, Prediction: pear, Confidence: 1.000
Original label: strawberry, Prediction: pear, Confidence: 1.000
Original label: sulfur_neutron, Prediction: pear, Confidence: 1.000
Original label: sulfur_neutron, Prediction: pear, Confidence: 1.000
Original label: sunscreen, Prediction: pear, Confidence: 1.000
Original label: sunscreen, Prediction: pear, Confidence: 1.000
Original label: take_and_toss, Prediction: pear, Confidence: 1.000
Original label: take_and_toss, Prediction: pear, Confidence: 1.000
Original label: toothpaste, Prediction: pear, Confidence: 1.000
Original label: toothpaste, Prediction: pear, Confidence: 1.000
Original label: uncracked_egg, Prediction: pear, Confidence: 1.000
Original label: uncracked_egg, Prediction: pear, Confidence: 1.000
Original label: utility_knife, Prediction: pear, Confidence: 1.000
Original label: utility_knife, Prediction: pear, Confidence: 1.000
Original label: vaseline, Prediction: pear, Confidence: 1.000
Original label: vaseline, Prediction: pear, Confidence: 1.000
Original label: watermelon, Prediction: pear, Confidence: 1.000
Original label: watermelon, Prediction: pear, Confidence: 1.000
Original label: white_board_cleaner, Prediction: pear, Confidence: 1.000
Original label: white_board_cleaner, Prediction: pear, Confidence: 1.000
Original label: worcestershire_sauce, Prediction: pear, Confidence: 1.000
Original label: worcestershire_sauce, Prediction: pear, Confidence: 1.000
Original label: yoda, Prediction: pear, Confidence: 1.000
Original label: yoda, Prediction: pear, Confidence: 1.000
Original label: zoink, Prediction: pear, Confidence: 1.000
Original label: zoink, Prediction: pear, Confidence: 1.000
